"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
0.52,1.03,0.41,-0.59,0.74,-0.88,0.72,0.45,-1.93,0.23,-0.69,-0.59,-0.0
0.21,-0.13,-0.53,0.9,-0.87,0.38,0.33,-0.66,0.36,0.8,-0.6,-0.67,-0.0
0.33,-0.58,1.21,1.93,0.19,1.76,-0.31,0.1,0.44,0.83,-0.25,-1.17,0.0
0.56,-0.86,-2.04,1.09,-0.22,-1.23,-0.31,-0.86,1.13,-0.09,-0.34,-0.53,-0.0
0.32,0.17,0.45,0.14,0.4,0.02,0.69,0.42,1.34,0.84,0.64,-0.2,0.0
-0.57,0.27,1.73,-2.79,-0.51,-1.64,0.37,-0.36,-0.18,1.54,-0.14,-0.16,-0.0
0.9,1.19,0.94,0.61,-0.27,1.18,0.46,-0.1,0.19,0.12,0.64,3.34,0.0
0.46,-0.97,1.74,0.65,0.09,0.57,0.04,-1.09,0.51,0.97,1.43,1.16,0.0
0.85,-0.12,0.37,-0.72,1.33,-0.56,-0.41,-2.07,-0.15,0.92,-0.24,-0.03,-0.0
0.07,0.29,-0.12,-0.36,0.69,-1.63,0.63,1.39,0.17,1.64,-0.27,0.07,0.0
0.55,-1.14,0.5,0.05,1.73,1.69,-0.14,-1.11,-0.26,-0.92,-0.2,-0.98,-0.0
0.8,-0.28,-0.3,1.49,-1.05,-0.66,-0.29,2.11,-0.59,0.76,-0.68,-0.59,0.0
-0.17,-0.76,-1.41,0.52,-1.61,-0.97,0.43,0.77,1.17,0.04,-1.32,1.81,-0.0
-0.51,0.68,0.02,-0.01,-0.08,1.63,0.65,2.56,1.11,-0.38,0.82,0.21,0.0
-1.14,1.26,-0.39,0.53,0.01,0.44,-0.15,0.21,1.55,0.74,0.6,-1.36,0.0
2.63,0.28,1.08,-1.01,-1.0,0.34,-1.34,-1.47,0.11,0.34,-0.55,-0.64,-0.0
-1.12,1.28,-0.8,0.16,-0.08,-0.03,-0.56,0.3,-0.97,0.11,-0.56,-1.5,-0.0
1.31,0.54,1.64,0.79,0.83,-1.44,0.18,0.05,0.46,-1.3,-0.65,0.63,0.0
-0.54,1.47,1.5,0.83,-0.92,1.4,0.6,0.39,0.15,-1.48,-0.16,0.07,0.0
-1.12,1.87,0.16,-0.25,0.9,-1.34,0.16,0.83,0.18,0.25,-1.63,1.21,0.0
0.3,2.14,1.15,0.72,2.21,1.18,0.83,-0.36,0.18,-1.27,0.18,-0.27,0.0
0.51,-1.84,0.0,-1.69,0.53,0.0,0.57,0.17,-0.81,0.58,-1.8,-1.05,-0.0
0.6,-0.63,0.38,-0.15,0.64,-0.83,0.71,-0.13,-0.38,-1.38,0.47,-0.34,-0.0
1.0,1.53,0.95,0.27,0.98,-0.15,0.35,1.62,-1.82,1.02,-0.75,0.24,0.0
0.41,0.72,-1.72,1.09,-1.35,0.15,0.94,-0.24,-0.0,0.66,1.24,0.52,0.0
-0.25,-0.51,0.57,0.24,1.3,-1.13,-1.98,0.35,-0.64,0.2,-0.52,-0.29,-0.0
-0.7,-0.18,1.03,-0.57,-0.8,-2.02,-1.06,-2.15,0.06,1.06,0.24,0.03,-0.0
-0.99,0.59,-1.06,0.15,-0.05,0.34,0.56,-0.38,-0.68,-0.69,1.21,0.38,-0.0
-0.16,0.35,1.39,0.17,0.59,-0.37,1.42,-0.55,-0.56,-0.69,0.33,1.45,0.0
-0.72,-0.91,-0.06,2.29,-0.89,-1.63,-1.56,0.02,0.13,0.22,0.59,-0.71,-0.0
2.58,-0.88,-0.59,1.41,-2.34,-2.51,-0.12,-0.2,0.58,0.9,-0.89,-0.58,-0.0
0.22,-0.26,-1.35,-0.22,-0.63,-0.83,-0.5,1.19,-0.01,-0.11,1.77,-0.81,-0.0
-0.66,0.47,1.35,0.33,-0.89,0.04,-0.02,0.2,0.37,-1.0,-0.34,-0.82,-0.0
-0.42,0.53,-0.24,0.07,-0.31,1.25,-0.58,-1.05,1.22,-0.79,1.39,0.52,0.0
1.04,0.2,-1.64,-0.02,-0.71,-0.56,-0.7,0.52,-1.05,-1.81,-0.23,-0.64,-0.0
-0.93,-2.21,-1.12,0.73,-0.26,-0.29,-0.18,-1.2,-2.41,-1.15,0.14,0.36,-0.0
0.22,0.59,0.95,1.57,-1.45,0.96,0.06,0.91,0.72,-0.17,0.34,0.09,0.0
-0.5,-0.71,0.36,-1.09,-1.05,0.04,-0.07,-1.72,-0.57,0.7,-1.76,-0.56,-0.0
-0.74,1.05,1.31,-0.06,0.09,-0.66,-1.38,-1.47,-0.15,0.53,-0.88,-0.18,-0.0
0.18,-1.79,0.78,-1.54,-0.24,0.04,-0.7,-0.58,0.32,-0.99,1.39,0.01,-0.0
-1.42,0.1,-0.64,-0.65,-1.26,0.95,0.32,-0.94,1.92,0.03,1.26,1.22,0.0
0.19,1.19,0.11,1.06,-0.3,0.26,0.5,-0.11,1.56,-0.04,-0.09,-1.01,0.0
1.25,-0.5,0.96,1.78,0.49,-1.62,-1.01,-0.72,-1.93,0.18,-0.16,-0.13,-0.0
-0.23,-0.45,0.44,0.26,-0.81,-0.41,1.3,0.59,-1.61,0.16,-0.39,0.23,-0.0
-1.02,-1.34,-0.84,0.99,0.32,-0.3,-0.31,1.64,0.79,-0.46,1.39,0.43,0.0
-0.77,-1.8,0.86,-0.56,-0.84,-0.7,1.12,-2.19,-0.44,0.21,0.44,-1.04,-0.0
-0.49,-1.64,-1.56,1.12,-0.04,-1.38,0.24,-0.23,0.15,-0.79,0.1,1.32,-0.0
0.53,-0.11,3.58,0.76,1.31,2.35,-1.2,0.35,-0.39,0.5,0.89,0.16,0.0
0.61,1.45,-0.51,0.94,-0.65,1.34,0.98,0.18,1.49,0.36,1.05,-0.51,0.0
-0.85,0.94,1.0,1.58,0.22,0.16,0.25,1.21,-2.62,0.45,-0.56,-0.39,0.0
0.18,-1.14,-0.13,-0.94,-1.73,-0.62,-0.45,-1.18,-0.29,-0.22,0.77,0.57,-0.0
1.7,-0.91,-0.14,-0.88,1.2,-1.93,-0.54,-0.49,-1.96,0.13,-0.91,0.41,-0.0
-1.42,-1.84,1.35,-0.56,-0.66,-0.47,0.37,-1.74,1.33,-0.87,-0.46,-1.68,-0.0
-0.2,0.32,0.06,2.2,-1.11,-0.1,2.06,0.59,1.48,0.46,-0.03,-0.34,0.0
0.04,-2.64,-1.77,0.68,0.4,1.68,0.24,-0.18,-0.04,-2.12,1.78,0.44,-0.0
-0.68,0.45,1.67,1.83,-0.04,-0.88,2.93,-1.36,-0.06,1.22,0.15,-1.04,0.0
-0.52,0.06,-0.03,-1.51,-1.11,-1.63,1.83,-0.31,-1.24,-0.98,1.02,-0.45,-0.0
-2.39,-0.03,-0.42,-1.37,-0.68,-0.04,-1.57,0.53,0.21,0.04,1.27,-0.4,-0.0
-1.13,0.63,0.23,0.55,0.74,1.13,-1.12,0.31,-0.56,-0.23,0.74,0.56,0.0
-0.16,0.63,0.95,2.36,1.88,-0.8,-1.18,0.95,0.93,0.69,1.03,-0.15,0.0
-1.13,-1.32,0.7,-0.59,1.4,0.76,-1.81,-1.64,0.18,1.69,1.83,-2.08,-0.0
0.13,1.26,0.86,-0.36,-1.04,0.41,-0.74,0.25,0.13,-1.07,-0.69,-0.74,-0.0
-0.11,-0.09,-0.33,-0.04,-0.28,0.09,-1.99,-0.51,-0.7,-1.48,-0.21,-0.75,-0.0
-1.28,-1.13,0.56,1.54,0.56,-0.65,0.06,-1.93,0.76,-0.77,1.37,-0.25,-0.0
0.83,0.76,-1.93,-0.06,2.02,0.09,-0.66,0.8,0.77,-0.21,0.37,-1.12,0.0
1.89,0.57,-0.67,0.34,0.59,-0.57,1.25,-0.3,0.97,-0.32,0.84,-1.79,0.0
-1.17,0.16,-0.62,-1.06,0.93,1.69,-2.34,-1.18,0.18,1.42,1.98,0.08,0.0
0.63,-1.88,-0.83,-0.06,0.08,0.05,-0.66,0.45,-1.56,0.63,-0.66,0.93,-0.0
0.32,-0.02,-0.06,-0.29,-0.04,-0.51,-1.29,0.22,0.94,0.21,-2.07,-0.31,-0.0
-0.55,2.14,0.48,0.44,-1.11,0.64,0.45,-1.65,-0.53,0.03,0.2,-0.29,0.0
0.79,-0.7,1.15,-1.43,-0.01,-0.16,-0.79,0.36,1.59,1.5,-2.41,0.04,-0.0
-0.02,0.58,0.04,0.38,0.47,0.88,1.43,-0.57,1.22,0.26,-0.7,-0.62,0.0
0.42,0.54,-0.77,0.17,-0.14,-0.99,0.82,-0.33,1.09,-0.39,-1.61,-0.83,-0.0
